geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US53033002500,53033002500,"Census Tract 25, King, WA",1333,58,886,82,447,76
14000US53033002600,53033002600,"Census Tract 26, King, WA",1989,107,1283,132,706,113
14000US53033002700,53033002700,"Census Tract 27, King, WA",2484,61,1745,173,739,164
14000US53033002800,53033002800,"Census Tract 28, King, WA",2262,129,1281,147,981,175
14000US53033002900,53033002900,"Census Tract 29, King, WA",2018,76,1375,114,643,123
14000US53033003000,53033003000,"Census Tract 30, King, WA",2708,71,1939,160,769,161
14000US53033003100,53033003100,"Census Tract 31, King, WA",2793,88,2260,152,533,142
14000US53033003200,53033003200,"Census Tract 32, King, WA",4526,245,2138,234,2388,297
14000US53033003300,53033003300,"Census Tract 33, King, WA",3656,133,1616,209,2040,204
14000US53033003400,53033003400,"Census Tract 34, King, WA",1571,58,940,112,631,107
14000US53033003500,53033003500,"Census Tract 35, King, WA",1922,79,1111,90,811,99
14000US53033003600,53033003600,"Census Tract 36, King, WA",4264,200,1319,193,2945,277
14000US53033003800,53033003800,"Census Tract 38, King, WA",930,70,657,59,273,62
14000US53033003900,53033003900,"Census Tract 39, King, WA",1211,48,880,68,331,72
14000US53033004000,53033004000,"Census Tract 40, King, WA",1403,81,923,88,480,81
14000US53033004100,53033004100,"Census Tract 41, King, WA",2962,132,2085,136,877,143
14000US53033004200,53033004200,"Census Tract 42, King, WA",3364,131,2439,234,925,191
14000US53033004301,53033004301,"Census Tract 43.01, King, WA",1503,62,823,73,680,93
14000US53033004302,53033004302,"Census Tract 43.02, King, WA",1604,126,94,46,1510,142
14000US53033004400,53033004400,"Census Tract 44, King, WA",2881,141,702,140,2179,168
14000US53033004500,53033004500,"Census Tract 45, King, WA",1037,69,644,83,393,80
14000US53033004600,53033004600,"Census Tract 46, King, WA",1405,93,943,87,462,89
14000US53033004700,53033004700,"Census Tract 47, King, WA",6126,305,1804,286,4322,428
14000US53033004800,53033004800,"Census Tract 48, King, WA",2266,145,1235,171,1031,174
14000US53033004900,53033004900,"Census Tract 49, King, WA",3711,167,930,197,2781,249
14000US53033005000,53033005000,"Census Tract 50, King, WA",2123,176,513,122,1610,195
14000US53033005100,53033005100,"Census Tract 51, King, WA",1709,89,1072,86,637,87
14000US53033005200,53033005200,"Census Tract 52, King, WA",3229,231,556,118,2673,229
14000US53033005301,53033005301,"Census Tract 53.01, King, WA",3294,230,16,18,3278,231
14000US53033005302,53033005302,"Census Tract 53.02, King, WA",149,29,0,17,149,29
14000US53033005400,53033005400,"Census Tract 54, King, WA",3457,157,1373,177,2084,206
14000US53033005600,53033005600,"Census Tract 56, King, WA",2850,106,2616,116,234,79
14000US53033005700,53033005700,"Census Tract 57, King, WA",2864,142,1974,187,890,165
14000US53033005801,53033005801,"Census Tract 58.01, King, WA",2891,153,949,157,1942,213
14000US53033005802,53033005802,"Census Tract 58.02, King, WA",3011,210,1150,155,1861,214
14000US53033005900,53033005900,"Census Tract 59, King, WA",2796,144,1589,157,1207,152
14000US53033006000,53033006000,"Census Tract 60, King, WA",2758,132,1281,177,1477,176
14000US53033006100,53033006100,"Census Tract 61, King, WA",3034,221,1371,208,1663,235
14000US53033006200,53033006200,"Census Tract 62, King, WA",1668,31,1415,75,253,68
14000US53033006300,53033006300,"Census Tract 63, King, WA",2695,148,1750,171,945,179
14000US53033006400,53033006400,"Census Tract 64, King, WA",1389,33,987,73,402,73
14000US53033006500,53033006500,"Census Tract 65, King, WA",2549,152,1160,152,1389,170
14000US53033006600,53033006600,"Census Tract 66, King, WA",2341,172,535,135,1806,185
14000US53033006700,53033006700,"Census Tract 67, King, WA",5174,374,1410,228,3764,433
14000US53033006800,53033006800,"Census Tract 68, King, WA",1487,99,679,81,808,119
14000US53033006900,53033006900,"Census Tract 69, King, WA",2265,141,1197,159,1068,169
14000US53033007000,53033007000,"Census Tract 70, King, WA",5189,276,1524,276,3665,340
14000US53033007100,53033007100,"Census Tract 71, King, WA",3380,218,694,137,2686,227
14000US53033007200,53033007200,"Census Tract 72, King, WA",6915,411,1106,261,5809,429
14000US53033007300,53033007300,"Census Tract 73, King, WA",5748,285,492,148,5256,279
14000US53033007401,53033007401,"Census Tract 74.01, King, WA",3912,177,770,144,3142,219
14000US53033007402,53033007402,"Census Tract 74.02, King, WA",3810,192,645,165,3165,215
14000US53033007500,53033007500,"Census Tract 75, King, WA",6362,366,1052,337,5310,436
14000US53033007600,53033007600,"Census Tract 76, King, WA",2361,103,769,164,1592,176
14000US53033007700,53033007700,"Census Tract 77, King, WA",2570,125,1391,183,1179,183
14000US53033007800,53033007800,"Census Tract 78, King, WA",2329,112,1812,167,517,148
14000US53033007900,53033007900,"Census Tract 79, King, WA",3659,142,1079,146,2580,185
14000US53033008001,53033008001,"Census Tract 80.01, King, WA",5091,357,1620,272,3471,369
14000US53033008002,53033008002,"Census Tract 80.02, King, WA",2602,187,461,122,2141,177
14000US53033008100,53033008100,"Census Tract 81, King, WA",2970,274,654,150,2316,281
14000US53033008200,53033008200,"Census Tract 82, King, WA",2931,231,474,137,2457,244
14000US53033008300,53033008300,"Census Tract 83, King, WA",2130,155,470,98,1660,151
14000US53033008400,53033008400,"Census Tract 84, King, WA",3484,296,486,157,2998,313
14000US53033008500,53033008500,"Census Tract 85, King, WA",1850,138,175,69,1675,139
14000US53033008600,53033008600,"Census Tract 86, King, WA",2480,221,512,135,1968,209
14000US53033008700,53033008700,"Census Tract 87, King, WA",1826,136,756,112,1070,145
14000US53033008800,53033008800,"Census Tract 88, King, WA",1729,71,1060,86,669,96
14000US53033008900,53033008900,"Census Tract 89, King, WA",2505,120,1481,228,1024,225
14000US53033009000,53033009000,"Census Tract 90, King, WA",1903,96,391,89,1512,115
14000US53033009100,53033009100,"Census Tract 91, King, WA",1626,138,93,48,1533,137
14000US53033009200,53033009200,"Census Tract 92, King, WA",1769,146,113,47,1656,150
14000US53033009300,53033009300,"Census Tract 93, King, WA",1582,121,645,87,937,113
14000US53033009400,53033009400,"Census Tract 94, King, WA",2955,153,1261,176,1694,223
14000US53033009500,53033009500,"Census Tract 95, King, WA",2810,129,1822,226,988,222
14000US53033009600,53033009600,"Census Tract 96, King, WA",2837,178,1752,200,1085,203
14000US53033009701,53033009701,"Census Tract 97.01, King, WA",3034,157,1722,171,1312,162
14000US53033009702,53033009702,"Census Tract 97.02, King, WA",2336,117,1872,150,464,136
14000US53033009800,53033009800,"Census Tract 98, King, WA",3233,142,2313,160,920,159
14000US53033009900,53033009900,"Census Tract 99, King, WA",3085,164,1425,171,1660,199
14000US53033010001,53033010001,"Census Tract 100.01, King, WA",1669,94,732,124,937,131
14000US53033010002,53033010002,"Census Tract 100.02, King, WA",1947,136,969,110,978,160
14000US53033010100,53033010100,"Census Tract 101, King, WA",3236,171,1908,237,1328,244
14000US53033010200,53033010200,"Census Tract 102, King, WA",2026,94,1657,122,369,88
14000US53033010300,53033010300,"Census Tract 103, King, WA",2928,176,1420,173,1508,197
14000US53033010401,53033010401,"Census Tract 104.01, King, WA",1440,94,1053,126,387,100
14000US53033010402,53033010402,"Census Tract 104.02, King, WA",1716,98,1172,141,544,121
14000US53033010500,53033010500,"Census Tract 105, King, WA",4833,237,1932,249,2901,316
14000US53033010600,53033010600,"Census Tract 106, King, WA",3822,190,2535,223,1287,238
14000US53033010701,53033010701,"Census Tract 107.01, King, WA",1596,106,728,115,868,116
14000US53033010702,53033010702,"Census Tract 107.02, King, WA",1625,93,656,87,969,96
14000US53033010800,53033010800,"Census Tract 108, King, WA",1900,75,1407,108,493,119
14000US53033010900,53033010900,"Census Tract 109, King, WA",603,53,291,50,312,56
14000US53033011001,53033011001,"Census Tract 110.01, King, WA",1748,76,659,92,1089,114
14000US53033011002,53033011002,"Census Tract 110.02, King, WA",1390,62,788,107,602,129
14000US53033011101,53033011101,"Census Tract 111.01, King, WA",1985,122,979,140,1006,140
14000US53033011102,53033011102,"Census Tract 111.02, King, WA",1658,75,980,99,678,119
14000US53033011200,53033011200,"Census Tract 112, King, WA",1431,122,542,105,889,146
14000US53033011300,53033011300,"Census Tract 113, King, WA",2986,124,1355,176,1631,195
14000US53033011401,53033011401,"Census Tract 114.01, King, WA",1803,104,876,106,927,133
14000US53033011402,53033011402,"Census Tract 114.02, King, WA",1967,93,872,123,1095,126
14000US53033011500,53033011500,"Census Tract 115, King, WA",2005,87,1537,109,468,123
14000US53033011600,53033011600,"Census Tract 116, King, WA",3061,141,2295,192,766,184
14000US53033011700,53033011700,"Census Tract 117, King, WA",1729,126,1244,142,485,143
14000US53033011800,53033011800,"Census Tract 118, King, WA",2935,173,1567,202,1368,272
14000US53033011900,53033011900,"Census Tract 119, King, WA",2547,178,2086,233,461,168
14000US53033012000,53033012000,"Census Tract 120, King, WA",1554,80,1238,113,316,99
14000US53033012100,53033012100,"Census Tract 121, King, WA",1180,60,1032,67,148,46
14000US53033026001,53033026001,"Census Tract 260.01, King, WA",2185,86,1857,126,328,123
14000US53033026400,53033026400,"Census Tract 264, King, WA",2406,183,1005,203,1401,209
14000US53033026500,53033026500,"Census Tract 265, King, WA",1529,86,616,95,913,111
14000US53033990100,53033990100,"Census Tract 9901, King, WA",0,12,0,12,0,12
16000US5363000,5363000,"Seattle, WA",331836,1955,151722,1896,180114,1983
