geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US53033000100,53033000100,"Census Tract 1, King, WA",3970,215,1055,165,2915,227
14000US53033000200,53033000200,"Census Tract 2, King, WA",3757,119,2059,171,1698,179
14000US53033000300,53033000300,"Census Tract 3, King, WA",1172,75,824,84,348,87
14000US53033000401,53033000401,"Census Tract 4.01, King, WA",4019,159,1176,233,2843,267
14000US53033000402,53033000402,"Census Tract 4.02, King, WA",2398,110,1015,150,1383,179
14000US53033000500,53033000500,"Census Tract 5, King, WA",1315,75,1215,80,100,44
14000US53033000600,53033000600,"Census Tract 6, King, WA",3374,153,1948,180,1426,191
14000US53033000700,53033000700,"Census Tract 7, King, WA",2310,125,1092,186,1218,209
14000US53033000800,53033000800,"Census Tract 8, King, WA",1126,30,823,74,303,69
14000US53033000900,53033000900,"Census Tract 9, King, WA",898,47,736,65,162,48
14000US53033001000,53033001000,"Census Tract 10, King, WA",753,42,505,57,248,53
14000US53033001100,53033001100,"Census Tract 11, King, WA",1053,65,794,78,259,73
14000US53033001200,53033001200,"Census Tract 12, King, WA",3763,232,953,165,2810,281
14000US53033001300,53033001300,"Census Tract 13, King, WA",2353,124,903,160,1450,169
14000US53033001400,53033001400,"Census Tract 14, King, WA",2425,102,1469,147,956,163
14000US53033001500,53033001500,"Census Tract 15, King, WA",1123,61,844,76,279,76
14000US53033001600,53033001600,"Census Tract 16, King, WA",1898,68,1540,105,358,99
14000US53033001701,53033001701,"Census Tract 17.01, King, WA",2155,91,867,133,1288,133
14000US53033001702,53033001702,"Census Tract 17.02, King, WA",2275,136,1340,187,935,195
14000US53033001800,53033001800,"Census Tract 18, King, WA",2207,151,1054,160,1153,191
14000US53033001900,53033001900,"Census Tract 19, King, WA",2355,72,1304,133,1051,126
14000US53033002000,53033002000,"Census Tract 20, King, WA",1620,76,1123,109,497,98
14000US53033002100,53033002100,"Census Tract 21, King, WA",1791,91,1131,99,660,100
14000US53033002200,53033002200,"Census Tract 22, King, WA",2387,87,1976,108,411,84
14000US53033002400,53033002400,"Census Tract 24, King, WA",1326,49,937,84,389,79
