geoid,GEOID10,name,B19013001,"B19013001, Error"
14000US06037104403,6037104403,"Census Tract 1044.03, Los Angeles, CA",60804,20306
14000US06037104404,6037104404,"Census Tract 1044.04, Los Angeles, CA",56974,11673
14000US06037104500,6037104500,"Census Tract 1045, Los Angeles, CA",64229,11735
14000US06037104610,6037104610,"Census Tract 1046.10, Los Angeles, CA",61359,6411
14000US06037104620,6037104620,"Census Tract 1046.20, Los Angeles, CA",64648,5641
14000US06037104701,6037104701,"Census Tract 1047.01, Los Angeles, CA",35357,6270
14000US06037104703,6037104703,"Census Tract 1047.03, Los Angeles, CA",41875,14155
14000US06037104704,6037104704,"Census Tract 1047.04, Los Angeles, CA",43338,4949
14000US06037104810,6037104810,"Census Tract 1048.10, Los Angeles, CA",74149,6780
14000US06037104821,6037104821,"Census Tract 1048.21, Los Angeles, CA",70231,16006
14000US06037104822,6037104822,"Census Tract 1048.22, Los Angeles, CA",60515,15613
14000US06037106010,6037106010,"Census Tract 1060.10, Los Angeles, CA",89946,11880
14000US06037106020,6037106020,"Census Tract 1060.20, Los Angeles, CA",79703,19811
14000US06037106111,6037106111,"Census Tract 1061.11, Los Angeles, CA",95288,17929
14000US06037106112,6037106112,"Census Tract 1061.12, Los Angeles, CA",95625,10484
14000US06037106113,6037106113,"Census Tract 1061.13, Los Angeles, CA",96667,18643
14000US06037106114,6037106114,"Census Tract 1061.14, Los Angeles, CA",58194,10061
14000US06037106403,6037106403,"Census Tract 1064.03, Los Angeles, CA",72604,11794
14000US06037106405,6037106405,"Census Tract 1064.05, Los Angeles, CA",59352,9915
14000US06037106406,6037106406,"Census Tract 1064.06, Los Angeles, CA",85115,7757
14000US06037106407,6037106407,"Census Tract 1064.07, Los Angeles, CA",34327,11980
14000US06037106408,6037106408,"Census Tract 1064.08, Los Angeles, CA",60199,13377
14000US06037106510,6037106510,"Census Tract 1065.10, Los Angeles, CA",85521,26927
14000US06037106520,6037106520,"Census Tract 1065.20, Los Angeles, CA",63924,7795
14000US06037106603,6037106603,"Census Tract 1066.03, Los Angeles, CA",112404,11166
14000US06037106604,6037106604,"Census Tract 1066.04, Los Angeles, CA",60350,7074
14000US06037106641,6037106641,"Census Tract 1066.41, Los Angeles, CA",110357,13551
14000US06037106642,6037106642,"Census Tract 1066.42, Los Angeles, CA",109063,14678
14000US06037106643,6037106643,"Census Tract 1066.43, Los Angeles, CA",164125,19513
14000US06037106645,6037106645,"Census Tract 1066.45, Los Angeles, CA",113940,12063
14000US06037106646,6037106646,"Census Tract 1066.46, Los Angeles, CA",110734,5738
14000US06037106648,6037106648,"Census Tract 1066.48, Los Angeles, CA",68426,9815
14000US06037106649,6037106649,"Census Tract 1066.49, Los Angeles, CA",87039,15593
14000US06037107010,6037107010,"Census Tract 1070.10, Los Angeles, CA",69934,9952
14000US06037107020,6037107020,"Census Tract 1070.20, Los Angeles, CA",84289,10352
14000US06037108101,6037108101,"Census Tract 1081.01, Los Angeles, CA",121563,23994
14000US06037108102,6037108102,"Census Tract 1081.02, Los Angeles, CA",100938,24626
14000US06037108103,6037108103,"Census Tract 1081.03, Los Angeles, CA",146932,26285
14000US06037108104,6037108104,"Census Tract 1081.04, Los Angeles, CA",152321,18571
14000US06037108201,6037108201,"Census Tract 1082.01, Los Angeles, CA",129688,12399
14000US06037108202,6037108202,"Census Tract 1082.02, Los Angeles, CA",97188,43930
14000US06037109100,6037109100,"Census Tract 1091, Los Angeles, CA",67750,23269
14000US06037109200,6037109200,"Census Tract 1092, Los Angeles, CA",117857,6216
14000US06037109300,6037109300,"Census Tract 1093, Los Angeles, CA",86316,7829
14000US06037109400,6037109400,"Census Tract 1094, Los Angeles, CA",82215,9679
14000US06037109500,6037109500,"Census Tract 1095, Los Angeles, CA",33387,12815
14000US06037109601,6037109601,"Census Tract 1096.01, Los Angeles, CA",93778,8664
14000US06037109603,6037109603,"Census Tract 1096.03, Los Angeles, CA",56970,15640
14000US06037109604,6037109604,"Census Tract 1096.04, Los Angeles, CA",92500,19997
14000US06037109700,6037109700,"Census Tract 1097, Los Angeles, CA",101709,8063
14000US06037109800,6037109800,"Census Tract 1098, Los Angeles, CA",92356,21749
14000US06037111100,6037111100,"Census Tract 1111, Los Angeles, CA",91648,8321
14000US06037111201,6037111201,"Census Tract 1112.01, Los Angeles, CA",90341,22702
14000US06037111202,6037111202,"Census Tract 1112.02, Los Angeles, CA",84240,10268
14000US06037111204,6037111204,"Census Tract 1112.04, Los Angeles, CA",154038,20918
14000US06037111205,6037111205,"Census Tract 1112.05, Los Angeles, CA",77351,15708
14000US06037111206,6037111206,"Census Tract 1112.06, Los Angeles, CA",114275,25635
14000US06037111301,6037111301,"Census Tract 1113.01, Los Angeles, CA",66861,15466
14000US06037111302,6037111302,"Census Tract 1113.02, Los Angeles, CA",62865,15358
14000US06037111400,6037111400,"Census Tract 1114, Los Angeles, CA",61467,5880
14000US06037113101,6037113101,"Census Tract 1131.01, Los Angeles, CA",106000,16414
14000US06037113102,6037113102,"Census Tract 1131.02, Los Angeles, CA",163021,24636
14000US06037113211,6037113211,"Census Tract 1132.11, Los Angeles, CA",91094,5602
14000US06037113212,6037113212,"Census Tract 1132.12, Los Angeles, CA",84429,15294
14000US06037113213,6037113213,"Census Tract 1132.13, Los Angeles, CA",91544,10035
