,GEOID10,med_hh_inc,total,own_occu
188,06037620001,124844.0,1400.0,679.0
189,06037620002,111688.0,1449.0,455.0
190,06037620101,108170.0,2115.0,1183.0
191,06037620102,97396.0,1453.0,475.0
192,06037620201,114886.0,927.0,260.0
193,06037620301,202333.0,1634.0,1332.0
194,06037620303,199408.0,1553.0,1254.0
195,06037620305,118542.0,2430.0,1381.0
196,06037620400,138906.0,2041.0,1503.0
197,06037620501,116602.0,2085.0,1161.0
198,06037620521,123050.0,1547.0,693.0
199,06037620522,121000.0,1822.0,907.0
200,06037620601,92684.0,2201.0,1014.0
201,06037620701,107722.0,2820.0,1724.0
202,06037620800,156394.0,2717.0,2068.0
203,06037620901,205750.0,968.0,802.0
204,06037620904,182831.0,1157.0,744.0
205,06037621001,136285.0,1883.0,1072.0
206,06037621002,135991.0,481.0,197.0
207,06037621004,124918.0,2093.0,918.0
208,06037980013,,0.0,0.0
209,06037980028,,0.0,0.0
210,06037980030,,0.0,0.0
211,06037276601,138929.0,1624.0,998.0
212,06037276603,90375.0,3179.0,1546.0
213,06037278102,148182.0,1514.0,761.0
214,06037294301,65870.0,688.0,504.0
215,06037294302,55313.0,1195.0,544.0
216,06037294900,42150.0,933.0,284.0
217,06037543501,72548.0,2051.0,1021.0
218,06037543601,79500.0,966.0,648.0
219,06037543604,98704.0,1370.0,1160.0
220,06037291300,81281.0,1107.0,792.0
221,06037292000,42135.0,1959.0,554.0
222,06037293201,64273.0,2029.0,808.0
223,06037293202,42877.0,1782.0,334.0
224,06037293301,83768.0,1065.0,715.0
225,06037293302,83955.0,1656.0,1001.0
226,06037293304,63150.0,1460.0,485.0
227,06037293306,100200.0,794.0,561.0
228,06037293307,51379.0,914.0,217.0
229,06037294410,50926.0,1634.0,656.0
230,06037294421,47917.0,995.0,400.0
231,06037543502,82132.0,1351.0,825.0
232,06037543503,74375.0,1772.0,1065.0
233,06037543602,71582.0,2852.0,2195.0
234,06037543603,70658.0,1508.0,1301.0
235,06037650101,112611.0,2095.0,1653.0
236,06037650401,137024.0,1468.0,1132.0
237,06037650501,115174.0,1043.0,915.0
238,06037650604,58413.0,2419.0,128.0
239,06037650605,80625.0,1120.0,342.0
240,06037650701,107500.0,972.0,801.0
241,06037650800,89420.0,2758.0,1626.0
242,06037650901,85025.0,2342.0,1112.0
243,06037650902,90857.0,2629.0,1266.0
244,06037651001,96101.0,1799.0,1353.0
245,06037651002,89507.0,1703.0,1066.0
246,06037651101,99750.0,1850.0,1045.0
